,Category,Address,Date,Sold_Area_m2,Total_Area_m2,Land_m2,Interior_Area_m2,Price_EUR,Total_EUR_m2,Land_EUR_m2,Land_EUR_ha,Type,Finishing,Dom_Parts,region_with_riga,region_riga_separate,municipality,Year,Quarter
0,Zeme,"Jasmīnu iela 11, Ābele, Pelču pag., Kuldīgas nov.",2025-10-06,599,599,599,,3 000,5,5.01,-,Privātmājām,,1/1,Kurzeme,Kurzeme,kuldīgas nov,2025.0,4.0
1,Zeme,"Leči 11, Leči, Vārves pag., Ventspils nov.",2025-10-03,628,628,628,,2 000,3,3.18,-,Privātmājām,,1/1,Kurzeme,Kurzeme,ventspils nov,2025.0,4.0
2,Zeme,"Villas, Pilāti, Valmieras pag., Valmieras nov.",2025-10-01,2 500,2 500,2 500,,29 500,12,11.8,-,Privātmājām,,1/1,Vidzeme,Vidzeme,valmieras nov,2025.0,4.0
3,Zeme,"Dāliju iela 30, Kļavas, Inčukalna pag., Siguldas nov.",2025-10-01,594,594,594,,7 000,12,11.78,-,Privātmājām,,1/1,Pierīga,Pierīga,siguldas nov,2025.0,4.0
4,Zeme,"Akmeņdziras 102, Akmeņdziras, Tārgales pag., Ventspils nov.",2025-09-30,545,545,545,,2 000,4,3.67,-,Privātmājām,,1/1,Kurzeme,Kurzeme,ventspils nov,2025.0,3.0
5,Zeme,"Rīts Nr. 197, Medemciems, Olaines pag., Olaines nov.",2025-09-30,1 146,1 146,1 146,,7 188,6,6.27,-,Privātmājām,,1/1,Pierīga,Pierīga,olaines nov,2025.0,3.0
6,Zeme,"Stūnīši 154, Stūnīši, Olaines pag., Olaines nov.",2025-09-30,600,600,600,,17 000,28,28.33,-,Privātmājām,,1/1,Pierīga,Pierīga,olaines nov,2025.0,3.0
7,Zeme,"Aidas iela 1, Saulkalne, Salaspils pag., Salaspils nov.",2025-09-30,2 722,2 722,2 722,,12 500,5,4.59,-,Privātmājām,,1/1,Pierīga,Pierīga,salaspils nov,2025.0,3.0
8,Zeme,"Mākoņu iela 1, Ogre, Ogres nov.",2025-09-30,1 517,1 517,1 517,,10 000,7,6.59,-,Privātmājām,,1/1,Pierīga,Pierīga,ogres nov,2025.0,3.0
9,Zeme,"Rudzu iela 7, Carnikava, Carnikavas pag., Ādažu nov.",2025-09-30,1 388,1 388,1 388,,50 000,36,36.02,-,Privātmājām,,1/1,Pierīga,Pierīga,ādažu nov,2025.0,3.0
10,Zeme,"Pokaiņi 22, Krimūnu pag., Dobeles nov.",2025-09-30,1 063,1 063,1 063,,5 000,5,4.7,-,Privātmājām,,1/1,Zemgale,Zemgale,dobeles nov,2025.0,3.0
11,Zeme,"Plāteru iela 24C, Daugavpils",2025-09-29,1 301,1 301,1 301,,29 000,22,22.29,-,Privātmājām,,1/1,Latgale,Latgale,daugavpils,2025.0,3.0
12,Zeme,"Rūsiņa iela 13, Sigulda, Siguldas nov.",2025-09-29,1 275,1 275,1 275,,50 000,39,39.22,-,Privātmājām,,1/1,Pierīga,Pierīga,siguldas nov,2025.0,3.0
