Category,Address,Date,Sold_Area_m2,Total_Area_m2,Land_m2,Interior_Area_m2,Price_EUR,Total_EUR_m2,Land_EUR_m2,Land_EUR_ha,Type,Finishing,Dom_Parts,region_with_riga,region_riga_separate,municipality,Year,Quarter,Month
Earth,"Ganibu Street 1B, Valmiera, Valmiera district.",2025-10-30,1000,1000,1000,,35000,35,35.0,,For commercial properties,,1/1,Vidzeme,Vidzeme,Valmiera,2025,4,10
Earth,"Kaivas Street 9, Riga",2025-10-23,560,2007,560,,33600,60,60.0,,For commercial properties,,560/2007,Rīga,Rīga,Rīga,2025,4,10
Earth,"Mazā Stacijas Street 1A, Riga",2025-10-21,1078,1078,1078,,60000,56,55.66,,For commercial properties,,1/1,Rīga,Rīga,Rīga,2025,4,10
Earth,"Aleksandra Street 2C, Tukums, Tukums district.",2025-10-20,421,421,421,,4500,11,10.69,,For commercial properties,,1/1,Kurzeme,Kurzeme,Tukums,2025,4,10
Earth,"Lauku Street 20A, Tukums, Tukums district.",2025-10-20,589,589,589,,4500,8,7.64,,For commercial properties,,1/1,Kurzeme,Kurzeme,Tukums,2025,4,10
Earth,"Bypass 4, Saldus, Saldus county.",2025-10-17,6344,12687,6344,,15000,2,2.36,,For commercial properties,,1/2,Kurzeme,Kurzeme,Saldus,2025,4,10
Earth,"Brankstūri, Cenu parish, Jelgava district",2025-10-15,11500,11500,11500,,22931,2,1.99,19940.0,For commercial properties,,1/1,Zemgale,Zemgale,Jelgava,2025,4,10
Earth,"Strautu Street 2, Valka, Valkas district.",2025-10-15,3479,6958,3479,,11800,3,3.39,,For commercial properties,,1/2,Vidzeme,Vidzeme,Valka,2025,4,10
Earth,"Muzeju Street 22, Turaida, Krimulda parish, Sigulda county",2025-10-08,3341,3341,3341,,39999,12,11.97,,For commercial properties,,1/1,Vidzeme,Vidzeme,Sigulda,2025,4,10
Earth,Jurmala,2025-10-02,2014,2014,2014,,12733,6,6.32,,For commercial properties,,1/1,Pierīga,Pierīga,Jurmala,2025,4,10
Earth,"18th November Street 130, Daugavpils",2025-09-26,2656,2656,2656,,100000,38,37.65,,For commercial properties,,1/1,Latgale,Latgale,Daugavpils,2025,3,9
Earth,Daugavpils,2025-09-26,728,728,728,,15000,21,20.6,,For commercial properties,,1/1,Latgale,Latgale,Daugavpils,2025,3,9
Earth,"Demene parish, Augšdaugava district",2025-09-25,12000,12000,12000,,6232,1,0.52,5193.0,For commercial properties,,1/1,Unknown,Unknown,Unknown,2025,3,9
Earth,"Krēsliņu Street 36, Mārupe, Mārupe County.",2025-09-25,7725,7725,7725,,345000,45,44.66,,For commercial properties,,1/1,Pierīga,Pierīga,Mārupe,2025,3,9
Earth,"Talsi, Talsi district.",2025-09-17,792,1583,792,,100000,126,126.34,,For commercial properties,,1/2,Kurzeme,Kurzeme,Talsi,2025,3,9
Earth,Riga,2025-09-16,183,183,183,,8100,44,44.26,,For commercial properties,,1/1,Rīga,Rīga,Rīga,2025,3,9
Earth,"Cēsu Street 51, Limbaži, Limbaži District.",2025-09-15,33450,33450,33450,,9000,0,0.27,2691.0,For commercial properties,,1/1,Unknown,Unknown,Unknown,2025,3,9
Earth,Riga,2025-09-09,2459,2459,2459,,958900,390,389.96,,For commercial properties,,1/1,Rīga,Rīga,Rīga,2025,3,9
Earth,"Republic Square 1A, Riga",2025-09-09,1049,1049,1049,,570800,544,544.14,,For commercial properties,,1/1,Rīga,Rīga,Rīga,2025,3,9
Earth,"Ludzas Street 1A, Rezekne",2025-09-05,1020,1020,1020,,4700,5,4.61,,For commercial properties,,1/1,Latgale,Latgale,Ludza,2025,3,9
Earth,"Meirāni, Mucenieki, Ropaži parish, Ropaži district",2025-09-05,4735,4735,4735,,21000,4,4.44,,For commercial properties,,1/1,Unknown,Unknown,Unknown,2025,3,9
Earth,"Saules Street 16, Straupciems, Salas parish, Mārupe county",2025-09-05,3495,3495,3495,,5000,1,1.43,,For commercial properties,,1/1,Pierīga,Pierīga,Mārupe,2025,3,9
Earth,"Nameja Street 62, Jekabpils, Jekabpils County.",2025-09-01,2862,2862,2862,,10000,3,3.49,,For commercial properties,,1/1,Unknown,Unknown,Unknown,2025,3,9
Earth,"Prāmju Street 3, Ventspils",2025-09-01,1189,1189,1189,,12000,10,10.09,,For commercial properties,,1/1,Kurzeme,Kurzeme,Ventspils,2025,3,9
Earth,"Piparu Street 2, Iecēni, Cenu parish, Jelgava district",2025-08-28,11742,11742,11742,,120000,10,10.22,102197.0,For commercial properties,,1/1,Zemgale,Zemgale,Jelgava,2025,3,8
Earth,"Katrina Dam 14, Riga",2025-08-25,206,2243,206,,15000,73,72.69,,For commercial properties,,23/250,Rīga,Rīga,Rīga,2025,3,8
Earth,"Katrina Dam 14, Riga",2025-08-25,305,2243,305,,25000,82,81.95,,For commercial properties,,17/125,Rīga,Rīga,Rīga,2025,3,8
Earth,"Stadion Street 9C, Ilūkste, Augšdaugava district.",2025-08-21,1205,1205,1205,,16000,13,13.28,,For commercial properties,,1/1,Unknown,Unknown,Unknown,2025,3,8
Earth,"Brivibas Street 68, Dobele, Dobele County.",2025-08-18,20034,20034,20034,,86540,4,4.32,43197.0,For commercial properties,,1/1,Zemgale,Zemgale,Dobele,2025,3,8
Earth,"Osu Street 2, Jurmala",2025-08-15,172,4538,172,,7120,41,41.29,,For commercial properties,,19/500,Pierīga,Pierīga,Jurmala,2025,3,8
Earth,"Viesuļi, Saraiķi, Vērgales parish, South Kurzeme county.",2025-08-15,3293,19400,3293,,20000,6,6.07,,For commercial properties,,508/2993,Unknown,Unknown,Unknown,2025,3,8
Earth,"Talsi, Talsi district.",2025-08-11,472,472,472,,1200,3,2.54,,For commercial properties,,1/1,Kurzeme,Kurzeme,Talsi,2025,3,8
Earth,Riga,2025-08-11,5188,5188,5188,,320000,62,61.68,,For commercial properties,,1/1,Rīga,Rīga,Rīga,2025,3,8
Earth,"Andreji, Klīves, Babītes parish, Mārupes county.",2025-08-08,11116,11116,11116,,5000,0,0.45,4498.0,For commercial properties,,1/1,Pierīga,Pierīga,Mārupe,2025,3,8
Earth,"Akmeņu Street 15E, Jekabpils, Jekabpils district.",2025-08-08,500,500,500,,4500,9,9.0,,For commercial properties,,1/1,Unknown,Unknown,Unknown,2025,3,8
Earth,"Sauleskalns Street 1A, Sauleskalns, Bērzaunes parish, Madonas district.",2025-08-07,3716,3716,3716,,75000,20,20.18,,For commercial properties,,1/1,Vidzeme,Vidzeme,Madona,2025,3,8
Earth,"Dzirciema Street 27, Riga",2025-08-05,18,1711,18,,5000,282,282.49,,For commercial properties,,444/42917,Rīga,Rīga,Rīga,2025,3,8
Earth,"14A, 1905. gada street, Koknese, Aizkraukles district.",2025-08-04,5689,5689,5689,,5461,1,0.96,,For commercial properties,,1/1,Zemgale,Zemgale,Aizkraukle,2025,3,8
Earth,"Brivibas Street 38, Ogre, Ogre County.",2025-08-04,976,2775,976,,27328,28,28.0,,For commercial properties,,976/2775,Pierīga,Pierīga,Ogre,2025,3,8
Earth,Riga,2025-07-31,1500,1500,1500,,55000,37,36.67,,For commercial properties,,1/1,Rīga,Rīga,Rīga,2025,3,7
Earth,"Pērkona Street 10, Ikšķile, Ogres County.",2025-07-30,1708,1708,1708,,16000,9,9.37,,For commercial properties,,1/1,Pierīga,Pierīga,Ogre,2025,3,7
Earth,Rezekne,2025-07-25,1032,2063,1032,,8250,8,8.0,,For commercial properties,,1/2,Unknown,Unknown,Unknown,2025,3,7
Earth,"Daugavmalas Street 24A, Saulkalne, Salaspils parish, Salaspils county.",2025-07-23,1436,1436,1436,,13025,9,9.07,,For commercial properties,,1/1,Pierīga,Pierīga,Salaspils,2025,3,7
Earth,"Rezeknes Street 10A, Preili, Preili District.",2025-07-22,1077,1077,1077,,15000,14,13.93,,For commercial properties,,1/1,Unknown,Unknown,Unknown,2025,3,7
Earth,"Osu Street 2, Jurmala",2025-07-22,73,4538,73,,1000,14,13.77,,For commercial properties,,2/125,Pierīga,Pierīga,Jurmala,2025,3,7
Earth,"Osu Street 2, Jurmala",2025-07-18,45,4538,45,,2000,44,44.07,,For commercial properties,,1/100,Pierīga,Pierīga,Jurmala,2025,3,7
Earth,"Osu Street 2, Jurmala",2025-07-16,82,4538,82,,3500,43,42.85,,For commercial properties,,9/500,Pierīga,Pierīga,Jurmala,2025,3,7
Earth,"Launkalne parish, Smiltene district",2025-07-15,3127,3127,3127,,4481,1,1.43,,For commercial properties,,1/1,Unknown,Unknown,Unknown,2025,3,7
Earth,"Kalnciema Street 43, Riga",2025-07-15,1949,1949,1949,,800000,410,410.47,,For commercial properties,,1/1,Rīga,Rīga,Rīga,2025,3,7
Earth,Riga,2025-07-11,594,594,594,,190000,320,319.87,,For commercial properties,,1/1,Rīga,Rīga,Rīga,2025,3,7
Earth,"Abelnieki, Rinda, Ances parish, Ventspils county.",2025-07-09,3217,3217,3217,,2000,1,0.62,,For commercial properties,,1/1,Kurzeme,Kurzeme,Ventspils,2025,3,7
Earth,"Mill, Ugales parish, Ventspils county.",2025-07-09,2700,2700,2700,,1512,1,0.56,,For commercial properties,,1/1,Kurzeme,Kurzeme,Ventspils,2025,3,7
Earth,"Osu Street 2, Jurmala",2025-07-04,91,4538,91,,3000,33,33.05,,For commercial properties,,1/50,Pierīga,Pierīga,Jurmala,2025,3,7
Earth,"Lubanas Street 113C, Riga",2025-07-03,1975,6722,1975,,120000,61,60.76,,For commercial properties,,1975/6722,Rīga,Rīga,Rīga,2025,3,7
