Category,Address,Date,Sold_Area_m2,Total_Area_m2,Land_m2,Interior_Area_m2,Price_EUR,Total_EUR_m2,Land_EUR_m2,Land_EUR_ha,Type,Finishing,Dom_Parts,region_with_riga,region_riga_separate,municipality,Year,Quarter,Month
Zeme,Rīga,2025-11-07,607,607,607,,16 500,27,27.18,-,Privātmājām,,1/1,Rīga,Rīga,Rīga,2025,4,11
Zeme,"Kalnupes iela 1, Mārupe, Mārupes nov.",2025-11-07,2 018,2 018,2 018,,72 000,36,35.68,-,Privātmājām,,1/1,Pierīga,Pierīga,Mārupe,2025,4,11
Zeme,"Divupes iela 20, Berģi, Garkalnes pag., Ropažu nov.",2025-11-04,1 238,1 238,1 238,,44 000,36,35.54,-,Privātmājām,,1/1,Pierīga,Pierīga,Garkalne,2025,4,11
Zeme,"Gauja 603, Kauguru pag., Valmieras nov.",2025-11-04,736,736,736,,7 300,10,9.92,-,Privātmājām,,1/1,Vidzeme,Vidzeme,Valmiera,2025,4,11
Zeme,"Čiekuru iela 5, Limbaži, Limbažu nov.",2025-11-04,1 229,1 229,1 229,,12 000,10,9.76,-,Privātmājām,,1/1,Pierīga,Pierīga,Limbaži,2025,4,11
Zeme,"Pūku iela 92, Rīga",2025-11-03,625,625,625,,6 000,10,9.6,-,Privātmājām,,1/1,Rīga,Rīga,Rīga,2025,4,11
Zeme,"Cīruļu iela 47, Kadaga, Ādažu pag., Ādažu nov.",2025-11-03,1 647,1 647,1 647,,36 500,22,22.16,-,Privātmājām,,1/1,Unknown,Unknown,Unknown,2025,4,11
Zeme,"Saulaines iela 24, Medemciems, Olaines pag., Olaines nov.",2025-11-03,683,683,683,,21 000,31,30.75,-,Privātmājām,,1/1,Pierīga,Pierīga,Olaine,2025,4,11
Zeme,"Olaines pag., Olaines nov.",2025-11-03,605,605,605,,2 000,3,3.31,-,Privātmājām,,1/1,Pierīga,Pierīga,Olaine,2025,4,11
Zeme,"Rojas pag., Talsu nov.",2025-10-31,3 152,3 152,3 152,,50 000,16,15.86,-,Privātmājām,,1/1,Kurzeme,Kurzeme,Rojas,2025,4,10
Zeme,"Pūpoli-1 127, Brenguļu pag., Valmieras nov.",2025-10-31,637,637,637,,6 100,10,9.58,-,Privātmājām,,1/1,Vidzeme,Vidzeme,Valmiera,2025,4,10
Zeme,Rīga,2025-10-31,444,444,444,,1 000,2,2.25,-,Privātmājām,,1/1,Rīga,Rīga,Rīga,2025,4,10
Zeme,"Pūku iela 66, Rīga",2025-10-31,675,675,675,,10 000,15,14.81,-,Privātmājām,,1/1,Rīga,Rīga,Rīga,2025,4,10
Zeme,"Divdesmit devītā iela 31, Šķēde, Medzes pag., Dienvidkurzemes nov.",2025-10-30,632,632,632,,3 000,5,4.75,-,Privātmājām,,1/1,Unknown,Unknown,Unknown,2025,4,10
Zeme,"Divdesmit devītā iela 29, Šķēde, Medzes pag., Dienvidkurzemes nov.",2025-10-30,657,657,657,,3 000,5,4.57,-,Privātmājām,,1/1,Unknown,Unknown,Unknown,2025,4,10
Zeme,"Juglasciema bulvāris 20, Rīga",2025-10-30,924,924,924,,47 124,51,51.0,-,Privātmājām,,1/1,Rīga,Rīga,Rīga,2025,4,10
Zeme,"Raiņa iela 36, Salaspils, Salaspils nov.",2025-10-30,2 387,2 387,2 387,,75 000,31,31.42,-,Privātmājām,,1/1,Pierīga,Pierīga,Salaspils,2025,4,10
Zeme,"Zelmeņu iela 12, Carnikava, Carnikavas pag., Ādažu nov.",2025-10-30,1 301,1 301,1 301,,77 000,59,59.19,-,Privātmājām,,1/1,Pierīga,Pierīga,Carnikava,2025,4,10
Zeme,"Trīsdesmitā iela 40, Šķēde, Medzes pag., Dienvidkurzemes nov.",2025-10-30,600,600,600,,3 000,5,5.0,-,Privātmājām,,1/1,Unknown,Unknown,Unknown,2025,4,10
Zeme,"Divdesmit devītā iela 33, Šķēde, Medzes pag., Dienvidkurzemes nov.",2025-10-30,634,634,634,,3 000,5,4.73,-,Privātmājām,,1/1,Unknown,Unknown,Unknown,2025,4,10
Zeme,"Medņu iela 4A, Jūrmala",2025-10-30,2 754,2 754,2 754,,110 000,40,39.94,-,Privātmājām,,1/1,Pierīga,Pierīga,Jūrmala,2025,4,10
Zeme,"Jūras iela 27, Tūja, Liepupes pag., Limbažu nov.",2025-10-30,1 217,1 217,1 217,,20 000,16,16.43,-,Privātmājām,,1/1,Unknown,Unknown,Unknown,2025,4,10
Zeme,"Dienvidu iela 9, Carnikava, Carnikavas pag., Ādažu nov.",2025-10-29,1 502,1 502,1 502,,89 000,59,59.25,-,Privātmājām,,1/1,Pierīga,Pierīga,Carnikava,2025,4,10
Zeme,"Beberbeķu iela 36B, Rīga",2025-10-29,1 094,1 094,1 094,,52 500,48,47.99,-,Privātmājām,,1/1,Rīga,Rīga,Rīga,2025,4,10
Zeme,"Tumes pag., Tukuma nov.",2025-10-29,640,640,640,,13 000,20,20.31,-,Privātmājām,,1/1,Unknown,Unknown,Unknown,2025,4,10
Zeme,"Mēness iela 1, Aizkraukle, Aizkraukles nov.",2025-10-29,4 483,4 483,4 483,,20 000,4,4.46,-,Privātmājām,,1/1,Zemgale,Zemgale,Aizkraukle,2025,4,10
Zeme,"Nātru iela 5, Rīga",2025-10-29,414,414,414,,9 600,23,23.19,-,Privātmājām,,1/1,Rīga,Rīga,Rīga,2025,4,10
Zeme,"Straume 17, Viesturciems, Glūdas pag., Jelgavas nov.",2025-10-29,672,672,672,,7 000,10,10.42,-,Privātmājām,,1/1,Zemgale,Zemgale,Jelgava,2025,4,10
Zeme,"Rozītes Nr. 74, Baldones pag., Ķekavas nov.",2025-10-29,680,680,680,,1 700,3,2.5,-,Privātmājām,,1/1,Pierīga,Pierīga,Ķekava,2025,4,10
Zeme,"Dzirkstele 180, Pleikšņi, Ozolaines pag., Rēzeknes nov.",2025-10-28,645,645,645,,1 000,2,1.55,-,Privātmājām,,1/1,Pierīga,Pierīga,Olaine,2025,4,10
Zeme,"Juglasciema bulvāris 14, Rīga",2025-10-28,855,855,855,,30 000,35,35.09,-,Privātmājām,,1/1,Rīga,Rīga,Rīga,2025,4,10
Zeme,"Carnikavas pag., Ādažu nov.",2025-10-28,3 186,3 186,3 186,,3 000,1,0.94,-,Privātmājām,,1/1,Pierīga,Pierīga,Carnikava,2025,4,10
Zeme,"Zaļā iela 12A, Brocēni, Saldus nov.",2025-10-28,2 551,2 551,2 551,,18 300,7,7.17,-,Privātmājām,,1/1,Kurzeme,Kurzeme,Saldus,2025,4,10
Zeme,"Rietumdārzu iela 3, Atari, Ādažu pag., Ādažu nov.",2025-10-27,1 523,1 523,1 523,,20 000,13,13.13,-,Privātmājām,,1/1,Unknown,Unknown,Unknown,2025,4,10
Zeme,"Maijpuķīšu iela 14, Spilve, Babītes pag., Mārupes nov.",2025-10-27,1 262,1 262,1 262,,39 000,31,30.9,-,Privātmājām,,1/1,Pierīga,Pierīga,Mārupe,2025,4,10
Zeme,"2. līnija 2B, Jelgava",2025-10-27,1 560,1 560,1 560,,32 000,21,20.51,-,Privātmājām,,1/1,Zemgale,Zemgale,Jelgava,2025,4,10
Zeme,"Koku iela 2, Ādaži, Ādažu nov.",2025-10-27,1 201,1 201,1 201,,50 000,42,41.63,-,Privātmājām,,1/1,Pierīga,Pierīga,Ādaži,2025,4,10
Zeme,"Pečorītes iela 10, Rīga",2025-10-27,961,961,961,,33 600,35,34.96,-,Privātmājām,,1/1,Rīga,Rīga,Rīga,2025,4,10
Zeme,"Zemlejas iela 2, Pilāti, Valmieras pag., Valmieras nov.",2025-10-27,2 003,2 003,2 003,,23 000,11,11.48,-,Privātmājām,,1/1,Vidzeme,Vidzeme,Valmiera,2025,4,10
Zeme,"Pikukalna iela 2, Rīga",2025-10-27,1 313,1 313,1 313,,70 002,53,53.31,-,Privātmājām,,1/1,Rīga,Rīga,Rīga,2025,4,10
Zeme,"Sargu iela 22A, Jelgava",2025-10-27,454,454,454,,4 358,10,9.6,-,Privātmājām,,1/1,Zemgale,Zemgale,Jelgava,2025,4,10
Zeme,"Juglasciema bulvāris 12, Rīga",2025-10-27,893,893,893,,44 650,50,50.0,-,Privātmājām,,1/1,Rīga,Rīga,Rīga,2025,4,10
Zeme,"Uzvara 22, Pleikšņi, Ozolaines pag., Rēzeknes nov.",2025-10-27,1 083,1 083,1 083,,2 500,2,2.31,-,Privātmājām,,1/1,Pierīga,Pierīga,Olaine,2025,4,10
Zeme,"Vadžu iela 78, Rīga",2025-10-27,1 675,1 675,1 675,,55 000,33,32.84,-,Privātmājām,,1/1,Rīga,Rīga,Rīga,2025,4,10
Zeme,"Kārklu iela 24, Mežāres, Babītes pag., Mārupes nov.",2025-10-27,1 189,1 189,1 189,,57 500,48,48.36,-,Privātmājām,,1/1,Pierīga,Pierīga,Mārupe,2025,4,10
Zeme,"Harmonijas iela 10, Dzidriņas, Stopiņu pag., Ropažu nov.",2025-10-27,1 105,1 105,1 105,,42 000,38,38.01,-,Privātmājām,,1/1,Unknown,Unknown,Unknown,2025,4,10
Zeme,"Latgales iela 8B, Ventspils",2025-10-27,1 421,1 421,1 421,,9 500,7,6.69,-,Privātmājām,,1/1,Kurzeme,Kurzeme,Ventspils,2025,4,10
Zeme,"Jaunzemnieki 585, Auru pag., Dobeles nov.",2025-10-27,685,685,685,,2 000,3,2.92,-,Privātmājām,,1/1,Zemgale,Zemgale,Dobele,2025,4,10
Zeme,"Tīnūžu pag., Ogres nov.",2025-10-27,1 461,2 921,1 461,,29 500,20,20.2,-,Privātmājām,,1/2,Pierīga,Pierīga,Ogre,2025,4,10
Zeme,"Latgales iela 8C, Ventspils",2025-10-27,1 270,1 270,1 270,,9 500,7,7.48,-,Privātmājām,,1/1,Kurzeme,Kurzeme,Ventspils,2025,4,10
Zeme,Daugavpils,2025-10-24,1 721,1 721,1 721,,11 000,6,6.39,-,Privātmājām,,1/1,Latgale,Latgale,Daugavpils,2025,4,10
Zeme,"3. masīvs 45, Kalnciema pag., Jelgavas nov.",2025-10-24,1 040,1 040,1 040,,2 000,2,1.92,-,Privātmājām,,1/1,Zemgale,Zemgale,Jelgava,2025,4,10
Zeme,"Rūpnieku iela 2B, Ogre, Ogres nov.",2025-10-24,769,769,769,,7 500,10,9.75,-,Privātmājām,,1/1,Pierīga,Pierīga,Ogre,2025,4,10
Zeme,"Apšu iela 14, Kuldīga, Kuldīgas nov.",2025-10-23,2 157,2 157,2 157,,32 000,15,14.84,-,Privātmājām,,1/1,Kurzeme,Kurzeme,Kuldīga,2025,4,10
Zeme,"Olaines pag., Olaines nov.",2025-10-23,580,580,580,,2 000,3,3.45,-,Privātmājām,,1/1,Pierīga,Pierīga,Olaine,2025,4,10
Zeme,"Čiekuru iela 23, Krogsils, Ķekavas pag., Ķekavas nov.",2025-10-23,2 501,2 501,2 501,,60 000,24,23.99,-,Privātmājām,,1/1,Pierīga,Pierīga,Ķekava,2025,4,10
Zeme,"Cinīšu iela 8, Spilve, Babītes pag., Mārupes nov.",2025-10-23,1 320,1 320,1 320,,29 120,22,22.06,-,Privātmājām,,1/1,Pierīga,Pierīga,Mārupe,2025,4,10
Zeme,"Cīruļu iela 82, Jūrmala",2025-10-23,801,1 826,801,,36 500,46,45.57,-,Privātmājām,,2193/5000,Pierīga,Pierīga,Jūrmala,2025,4,10
Zeme,"Jūrkalnes iela 7, Piņķi, Babītes pag., Mārupes nov.",2025-10-23,1 556,1 556,1 556,,145 000,93,93.19,-,Privātmājām,,1/1,Pierīga,Pierīga,Mārupe,2025,4,10
Zeme,"Kolibri iela 16, Kalngale, Carnikavas pag., Ādažu nov.",2025-10-23,1 201,1 201,1 201,,32 000,27,26.64,-,Privātmājām,,1/1,Pierīga,Pierīga,Carnikava,2025,4,10
Zeme,"Unguru iela 9, Mārupe, Mārupes nov.",2025-10-23,1 202,1 202,1 202,,80 150,67,66.68,-,Privātmājām,,1/1,Pierīga,Pierīga,Mārupe,2025,4,10
Zeme,"Paparžu iela 1, Bukulti, Garkalnes pag., Ropažu nov.",2025-10-22,1 814,1 814,1 814,,43 500,24,23.98,-,Privātmājām,,1/1,Pierīga,Pierīga,Garkalne,2025,4,10
Zeme,"Frēziju iela 7, Katlakalns, Ķekavas pag., Ķekavas nov.",2025-10-22,1 410,1 410,1 410,,38 500,27,27.3,-,Privātmājām,,1/1,Pierīga,Pierīga,Ķekava,2025,4,10
Zeme,"Daugavas iela 26, Jūrmala",2025-10-22,2 100,2 100,2 100,,71 000,34,33.81,-,Privātmājām,,1/1,Pierīga,Pierīga,Jūrmala,2025,4,10
Zeme,"Piejūras 12, Vārzas, Skultes pag., Limbažu nov.",2025-10-22,2 187,2 187,2 187,,20 000,9,9.14,-,Privātmājām,,1/1,Unknown,Unknown,Unknown,2025,4,10
Zeme,"Vārpu iela 5, Mārupe, Mārupes nov.",2025-10-22,3 152,3 152,3 152,,22 000,7,6.98,-,Privātmājām,,1/1,Pierīga,Pierīga,Mārupe,2025,4,10
Zeme,"Atpūta Griškāni 321, Lielie Dreizi, Griškānu pag., Rēzeknes nov.",2025-10-22,395,395,395,,1 200,3,3.04,-,Privātmājām,,1/1,Latgale,Latgale,Rēzekne,2025,4,10
Zeme,"Biķernieku iela 179 k-25, Rīga",2025-10-22,620,620,620,,8 000,13,12.9,-,Privātmājām,,1/1,Rīga,Rīga,Rīga,2025,4,10
Zeme,"Ezerlīču iela 4D, Liepāja",2025-10-21,684,684,684,,37 700,55,55.12,-,Privātmājām,,1/1,Kurzeme,Kurzeme,Liepāja,2025,4,10
Zeme,"Vēsma 88, Vēsma, Saulkrastu pag., Saulkrastu nov.",2025-10-21,600,600,600,,1 000,2,1.67,-,Privātmājām,,1/1,Unknown,Unknown,Unknown,2025,4,10
Zeme,"1. Centra iela 14, Vārzas, Skultes pag., Limbažu nov.",2025-10-21,1 437,1 437,1 437,,23 200,16,16.14,-,Privātmājām,,1/1,Unknown,Unknown,Unknown,2025,4,10
Zeme,"Lefkoju iela 10, Ogre, Ogres nov.",2025-10-21,572,572,572,,6 000,10,10.49,-,Privātmājām,,1/1,Pierīga,Pierīga,Ogre,2025,4,10
Zeme,"Olaines pag., Olaines nov.",2025-10-21,1 190,1 190,1 190,,2 675,2,2.25,-,Privātmājām,,1/1,Pierīga,Pierīga,Olaine,2025,4,10
Zeme,"Daibes iela 22C, Mārupe, Mārupes nov.",2025-10-21,1 450,1 450,1 450,,37 000,26,25.52,-,Privātmājām,,1/1,Pierīga,Pierīga,Mārupe,2025,4,10
Zeme,"Rietumu iela 29, Egļupe, Inčukalna pag., Siguldas nov.",2025-10-21,684,684,684,,4 900,7,7.16,-,Privātmājām,,1/1,Pierīga,Pierīga,Sigulda,2025,4,10
Zeme,"Nīcas pag., Dienvidkurzemes nov.",2025-10-21,2 882,2 882,2 882,,48 000,17,16.66,-,Privātmājām,,1/1,Kurzeme,Kurzeme,Nīca,2025,4,10
