Category,Address,Date,Sold_Area_m2,Total_Area_m2,Land_m2,Interior_Area_m2,Price_EUR,Total_EUR_m2,Land_EUR_m2,Land_EUR_ha,Type,Finishing,Dom_Parts,region_with_riga,region_riga_separate,municipality,Year,Quarter,Month
Earth,Riga,2025-11-07,607,607,607,,"16,500",27,27.18,-,For private homes,,1/1,Rīga,Rīga,Riga,2025,4,11
Earth,"Promenade Street 52, Berģi, Garkalnes parish, Ropaži county",2025-11-04,"1,673","1,673","1,673",,"10,000",6,5.98,-,"For nature, recreation",,1/1,Pierīga,Pierīga,Garkalne,2025,4,11
Earth,"20, Divupes Street, Berģi, Garkalnes parish, Ropaži district.",2025-11-04,"1,238","1,238","1,238",,"44,000",36,35.54,-,For private homes,,1/1,Pierīga,Pierīga,Garkalne,2025,4,11
Earth,"Pūku Street 92, Riga",2025-11-03,625,625,625,,"6,000",10,9.6,-,For private homes,,1/1,Rīga,Rīga,Riga,2025,4,11
Earth,"Firsa Sadovnikova Street 33A, Riga",2025-11-03,20,308,20,,"1,500",77,76.57,-,For apartment buildings,,93/1462,Rīga,Rīga,Riga,2025,4,11
Earth,"Firsa Sadovnikova Street 33, Riga",2025-11-03,26,401,26,,"1,500",57,57.36,-,For apartment buildings,,3/46,Rīga,Rīga,Riga,2025,4,11
Earth,"Cīruļu Street 47, Kadaga, Ādažu parish, Ādažu county.",2025-11-03,"1,647","1,647","1,647",,"36,500",22,22.16,-,For private homes,,1/1,Unknown,Unknown,Unknown,2025,4,11
Earth,"Olaines parish, Olaines district",2025-11-03,605,605,605,,"2,000",3,3.31,-,For private homes,,1/1,Pierīga,Pierīga,Olaine,2025,4,11
Earth,"Anniņmuižas Boulevard 60, Riga",2025-10-31,63,"2,839",63,,"2,500",40,39.97,-,For apartment buildings,,4852/220211,Rīga,Rīga,Riga,2025,4,10
Earth,Riga,2025-10-31,444,444,444,,"1,000",2,2.25,-,For private homes,,1/1,Rīga,Rīga,Riga,2025,4,10
Earth,"Pūku Street 66, Riga",2025-10-31,675,675,675,,"10,000",15,14.81,-,For private homes,,1/1,Rīga,Rīga,Riga,2025,4,10
Earth,"Twenty-ninth Street 31, Šķēde, Medzes parish, South Kurzeme county.",2025-10-30,632,632,632,,"3,000",5,4.75,-,For private homes,,1/1,Unknown,Unknown,Unknown,2025,4,10
Earth,"Twenty-ninth Street 29, Šķēde, Medzes parish, South Kurzeme county",2025-10-30,657,657,657,,"3,000",5,4.57,-,For private homes,,1/1,Unknown,Unknown,Unknown,2025,4,10
Earth,"Baldones parish, Kekava district",2025-10-30,"11,500","11,500","11,500",,"15,000",1,1.3,"13,043",For production,,1/1,Pierīga,Pierīga,Kekava,2025,4,10
Earth,"Juglasciems Boulevard 20, Riga",2025-10-30,924,924,924,,47 124,51,51.0,-,For private homes,,1/1,Rīga,Rīga,Riga,2025,4,10
Earth,"Zelmeņu Street 12, Carnikava, Carnikavas parish, Ādaži county",2025-10-30,"1,301","1,301","1,301",,"77,000",59,59.19,-,For private homes,,1/1,Pierīga,Pierīga,Carnikava,2025,4,10
Earth,"Ilūkstes Street 38, Riga",2025-10-30,50,"8,316",50,,"5,000",100,99.6,-,For apartment buildings,,68/11265,Rīga,Rīga,Riga,2025,4,10
Earth,"40, 30th Street, Šķēde, Medzes parish, South Kurzeme county",2025-10-30,600,600,600,,"3,000",5,5.0,-,For private homes,,1/1,Unknown,Unknown,Unknown,2025,4,10
