Category,Address,Date,Sold_Area_m2,Total_Area_m2,Land_m2,Interior_Area_m2,Price_EUR,Total_EUR_m2,Land_EUR_m2,Land_EUR_ha,Type,Finishing,Dom_Parts,region_with_riga,region_riga_separate,municipality,Year,Quarter,Month
Telpas,"Skanstes iela 29A - 204, Rīga",2025-11-05,2.8,2.8,0,,5 000,1 786,,-,Cits,,1/1,Rīga,Rīga,Rīga,2025,4,11
Telpas,"Skanstes iela 29A - 139, Rīga",2025-11-05,22.5,2 694.6,0,,20 000,890,2713.7,-,Garāža,,1/120,Rīga,Rīga,Rīga,2025,4,11
Telpas,"Dzirciema iela 100 k-3 - 596, Rīga",2025-11-04,17.1,17.1,0,,5 100,298,,-,Garāža,,1/1,Rīga,Rīga,Rīga,2025,4,11
Telpas,"Kolkasraga iela 12 - 10N, Rīga",2025-11-03,7.0,7.0,0,,2 000,286,,-,Cits,,1/1,Rīga,Rīga,Rīga,2025,4,11
Telpas,"Ģertrūdes iela 105 k-1 - 1A, Rīga",2025-11-03,154.9,154.9,0,,80 000,516,,-,Biroju telpas,,1/1,Rīga,Rīga,Rīga,2025,4,11
Telpas,"Vienības iela 3 - 48, Lociki, Naujenes pag., Augšdaugavas nov.",2025-10-31,37.4,37.4,0,,6 000,160,,-,Tirdzniecības telpas,,1/1,Unknown,Unknown,Unknown,2025,4,10
Telpas,"Tālavas iela 15A - 8, Valmiera, Valmieras nov.",2025-10-31,28.0,28.0,0,,9 000,321,,-,Garāža,,1/1,Vidzeme,Vidzeme,Valmiera,2025,4,10
Telpas,"Liepu aleja 15 k-1 - 18, Babīte, Babītes pag., Mārupes nov.",2025-10-31,17.0,17.0,0,,5 500,324,,-,Garāža,,1/1,Pierīga,Pierīga,Mārupe,2025,4,10
Telpas,"Vesetas iela 19 k-9 - 453, Rīga",2025-10-31,17.2,17.2,0,,4 500,262,,-,Garāža,,1/1,Rīga,Rīga,Rīga,2025,4,10
Telpas,"Atbrīvošanas aleja 151, Rēzekne",2025-10-30,54.8,54.8,0,,6 000,109,,-,Ražošanas telpas,,1/1,Latgale,Latgale,Rēzekne,2025,4,10
